Year,Make,Model,Body Type,Mileage,Price Sold,Year Sold
2008,Chevrolet,Silverado 2500 Hd,Pickup,278000,1630,2019
2010,Chrysler,300 Series,Sedan,152200,4500,2019
1998,Toyota,Tacoma,Standard Cab Pickup,187000,6500,2020
1988,Ford,F-150,Extended Cab Pickup,165348,2500,2019
2007,Dodge,Ram 3500,Extended Crew Cab Pickup,143000,18500,2019
1951,Gmc,100,Standard Cab Pickup,123456,9500,2020
1996,Chevrolet,Impala,Sedan,141470,14000,2020
1984,Chevrolet,C-10,Standard Cab Pickup,44000,13950,2020
1967,International Harvester,Scout,Standard Cab Pickup,89000,9600,2019
1971,Dodge,Charger,Coupe,99999,16800,2019
1995,Mercedes-Benz,S-Class,Sedan,121500,3050,2019
2006,Ford,Taurus X/Freestyle,Wagon,180121,610,2020
1970,Volkswagen,Beetle - Classic,Buggy,500,7500,2019
1989,Ford,Mustang,Coupe,50000,9000,2019
2009,Honda,Pilot,Suv,209000,2300,2019
2005,Chevrolet,Tahoe,Suv,155128,2150,2019
2010,Volkswagen,Jetta,Sedan,108538,2200,2019
1966,Pontiac,Gto,Coupe,67500,33100,2020
1967,Buick,Riviera,Fastback,209755,2950,2019
1969,Buick,Riviera,Coupe,206474,2830,2019
1959,International Harvester,Other,Standard Cab Pickup,180120,3430,2019
2018,Volkswagen,Atlas,Suv,62500,19750,2020
2012,Bmw,6-Series,Convertible,33500,23100,2019
2013,Porsche,911,Coupe,131000,33000,2020
2005,Porsche,911,Convertible,94500,20000,2019
1967,Ford,Mustang,Coupe,0,1590,2019
1975,Mg,Midget,Convertible,43167,650,2019
1990,Nissan,300Zx,Convertible,76500,5400,2019
2016,Tesla,S,Sedan,54000,63000,2020
2005,Chevrolet,Ssr,Convertible,100000,12510,2020
1960,Chevrolet,Impala,Sedan,63782,6700,2019
1981,Porsche,928,Coupe,91000,4150,2020
1982,Chevrolet,Corvette,Hatchback,46132,14600,2019
1989,Chevrolet,Silverado 3500,Van Camper,155000,6210,2019
2010,Toyota,Yaris,Sedan,75947,4650,2019
2001,Nissan,Frontier,Extended Cab Pickup,16200,4900,2020
